The model has 22,673,341 trainable parameters
Epoch: 01 | Time: 0m 47s
	Train Loss: 5.105 | Train PPL: 164.817
	 Val. Loss: 4.944 |  Val. PPL: 140.346
Epoch: 02 | Time: 0m 47s
	Train Loss: 4.666 | Train PPL: 106.324
	 Val. Loss: 4.908 |  Val. PPL: 135.353
Epoch: 03 | Time: 0m 48s
	Train Loss: 4.341 | Train PPL: 76.751
	 Val. Loss: 4.753 |  Val. PPL: 115.937
Epoch: 04 | Time: 0m 48s
	Train Loss: 4.096 | Train PPL: 60.109
	 Val. Loss: 4.489 |  Val. PPL: 89.011
Epoch: 05 | Time: 0m 48s
	Train Loss: 3.897 | Train PPL: 49.238
	 Val. Loss: 4.377 |  Val. PPL: 79.604
Epoch: 06 | Time: 0m 48s
	Train Loss: 3.716 | Train PPL: 41.091
	 Val. Loss: 4.241 |  Val. PPL: 69.508
Epoch: 07 | Time: 0m 48s
	Train Loss: 3.604 | Train PPL: 36.736
	 Val. Loss: 4.134 |  Val. PPL: 62.406
Epoch: 08 | Time: 0m 49s
	Train Loss: 3.489 | Train PPL: 32.760
	 Val. Loss: 4.081 |  Val. PPL: 59.189
Epoch: 09 | Time: 0m 48s
	Train Loss: 3.373 | Train PPL: 29.167
	 Val. Loss: 4.010 |  Val. PPL: 55.171
Epoch: 10 | Time: 0m 47s
	Train Loss: 3.248 | Train PPL: 25.746
	 Val. Loss: 3.900 |  Val. PPL: 49.397
Epoch: 11 | Time: 0m 48s
	Train Loss: 3.133 | Train PPL: 22.931
	 Val. Loss: 3.900 |  Val. PPL: 49.393
Epoch: 12 | Time: 0m 48s
	Train Loss: 3.019 | Train PPL: 20.476
	 Val. Loss: 3.829 |  Val. PPL: 46.031
Epoch: 13 | Time: 0m 48s
	Train Loss: 2.899 | Train PPL: 18.157
	 Val. Loss: 3.702 |  Val. PPL: 40.528
Epoch: 14 | Time: 0m 50s
	Train Loss: 2.779 | Train PPL: 16.100
	 Val. Loss: 3.697 |  Val. PPL: 40.336
Epoch: 15 | Time: 0m 48s
	Train Loss: 2.686 | Train PPL: 14.668
	 Val. Loss: 3.679 |  Val. PPL: 39.612
Epoch: 16 | Time: 0m 48s
