The model has 21,027,541 trainable parameters
	 Val. Loss: 5.686 |  Val. PPL: 294.700
Epoch: 46 | Time: 0m 44s
	Train Loss: 0.044 | Train PPL: 1.045
	 Val. Loss: 5.784 |  Val. PPL: 324.992
Epoch: 47 | Time: 0m 43s
	Train Loss: 0.031 | Train PPL: 1.031
	 Val. Loss: 5.914 |  Val. PPL: 370.056
Epoch: 48 | Time: 0m 43s
	Train Loss: 0.025 | Train PPL: 1.026
	 Val. Loss: 6.054 |  Val. PPL: 425.749
Epoch: 49 | Time: 0m 44s
	Train Loss: 0.046 | Train PPL: 1.047
	 Val. Loss: 6.035 |  Val. PPL: 417.794
Epoch: 50 | Time: 0m 43s
	Train Loss: 0.744 | Train PPL: 2.103
	 Val. Loss: 4.994 |  Val. PPL: 147.597
