The model has 14,268,349 trainable parameters
Epoch: 01 | Time: 0m 30s
	Train Loss: 4.976 | Train PPL: 144.887
	 Val. Loss: 4.802 |  Val. PPL: 121.784
Epoch: 02 | Time: 0m 30s
	Train Loss: 4.248 | Train PPL: 69.999
	 Val. Loss: 4.478 |  Val. PPL: 88.089
Epoch: 03 | Time: 0m 30s
	Train Loss: 3.870 | Train PPL: 47.951
	 Val. Loss: 4.304 |  Val. PPL: 74.029
Epoch: 04 | Time: 0m 30s
	Train Loss: 3.622 | Train PPL: 37.400
	 Val. Loss: 4.071 |  Val. PPL: 58.605
Epoch: 05 | Time: 0m 30s
	Train Loss: 3.348 | Train PPL: 28.441
	 Val. Loss: 3.917 |  Val. PPL: 50.234
Epoch: 06 | Time: 0m 30s
	Train Loss: 3.138 | Train PPL: 23.061
	 Val. Loss: 3.814 |  Val. PPL: 45.352
Epoch: 07 | Time: 0m 30s
	Train Loss: 2.957 | Train PPL: 19.232
	 Val. Loss: 3.653 |  Val. PPL: 38.587
Epoch: 08 | Time: 0m 30s
	Train Loss: 2.742 | Train PPL: 15.513
	 Val. Loss: 3.570 |  Val. PPL: 35.528
Epoch: 09 | Time: 0m 30s
	Train Loss: 2.589 | Train PPL: 13.311
	 Val. Loss: 3.477 |  Val. PPL: 32.360
Epoch: 10 | Time: 0m 30s
	Train Loss: 2.427 | Train PPL: 11.321
	 Val. Loss: 3.421 |  Val. PPL: 30.602
Epoch: 11 | Time: 0m 30s
	Train Loss: 2.262 | Train PPL: 9.601
	 Val. Loss: 3.417 |  Val. PPL: 30.488
Epoch: 12 | Time: 0m 30s
	Train Loss: 2.147 | Train PPL: 8.557
	 Val. Loss: 3.384 |  Val. PPL: 29.487
Epoch: 13 | Time: 0m 30s
	Train Loss: 1.989 | Train PPL: 7.309
	 Val. Loss: 3.361 |  Val. PPL: 28.807
Epoch: 14 | Time: 0m 30s
	Train Loss: 1.865 | Train PPL: 6.453
	 Val. Loss: 3.392 |  Val. PPL: 29.715
Epoch: 15 | Time: 0m 30s
	Train Loss: 1.755 | Train PPL: 5.783
	 Val. Loss: 3.364 |  Val. PPL: 28.898
Epoch: 16 | Time: 0m 30s
	Train Loss: 1.643 | Train PPL: 5.171
	 Val. Loss: 3.392 |  Val. PPL: 29.732
Epoch: 17 | Time: 0m 30s
	Train Loss: 1.528 | Train PPL: 4.608
	 Val. Loss: 3.391 |  Val. PPL: 29.685
Epoch: 18 | Time: 0m 30s
	Train Loss: 1.420 | Train PPL: 4.136
	 Val. Loss: 3.522 |  Val. PPL: 33.850
Epoch: 19 | Time: 0m 30s
	Train Loss: 1.316 | Train PPL: 3.728
	 Val. Loss: 3.497 |  Val. PPL: 33.006
