The model has 39,483,325 trainable parameters
Epoch: 01 | Time: 1m 11s
	Train Loss: 5.139 | Train PPL: 170.547
	 Val. Loss: 4.879 |  Val. PPL: 131.484
Epoch: 02 | Time: 1m 12s
	Train Loss: 4.990 | Train PPL: 146.872
	 Val. Loss: 4.872 |  Val. PPL: 130.632
Epoch: 03 | Time: 1m 11s
	Train Loss: 4.974 | Train PPL: 144.550
	 Val. Loss: 4.863 |  Val. PPL: 129.350
Epoch: 04 | Time: 1m 11s
	Train Loss: 4.980 | Train PPL: 145.510
	 Val. Loss: 4.866 |  Val. PPL: 129.741
Epoch: 05 | Time: 1m 11s
	Train Loss: 4.958 | Train PPL: 142.315
	 Val. Loss: 4.867 |  Val. PPL: 129.876
Epoch: 06 | Time: 1m 11s
	Train Loss: 4.952 | Train PPL: 141.452
	 Val. Loss: 4.871 |  Val. PPL: 130.413
Epoch: 07 | Time: 1m 11s
	Train Loss: 4.948 | Train PPL: 140.883
	 Val. Loss: 4.868 |  Val. PPL: 130.107
Epoch: 08 | Time: 1m 11s
	Train Loss: 4.944 | Train PPL: 140.297
	 Val. Loss: 4.871 |  Val. PPL: 130.512
Epoch: 09 | Time: 1m 11s
	Train Loss: 4.940 | Train PPL: 139.795
	 Val. Loss: 4.868 |  Val. PPL: 130.013
Epoch: 10 | Time: 1m 11s
	Train Loss: 4.937 | Train PPL: 139.364
	 Val. Loss: 4.873 |  Val. PPL: 130.722
Epoch: 11 | Time: 1m 11s
	Train Loss: 4.934 | Train PPL: 138.980
	 Val. Loss: 4.877 |  Val. PPL: 131.251
Epoch: 12 | Time: 1m 11s
	Train Loss: 4.952 | Train PPL: 141.510
	 Val. Loss: 4.875 |  Val. PPL: 131.020
Epoch: 13 | Time: 1m 11s
	Train Loss: 4.931 | Train PPL: 138.577
	 Val. Loss: 4.877 |  Val. PPL: 131.286
Epoch: 14 | Time: 1m 11s
	Train Loss: 4.928 | Train PPL: 138.074
	 Val. Loss: 4.883 |  Val. PPL: 132.080
Epoch: 15 | Time: 1m 11s
	Train Loss: 4.925 | Train PPL: 137.685
	 Val. Loss: 4.886 |  Val. PPL: 132.381
Epoch: 16 | Time: 1m 11s
	Train Loss: 4.923 | Train PPL: 137.366
	 Val. Loss: 4.884 |  Val. PPL: 132.190
Epoch: 17 | Time: 1m 11s
	Train Loss: 4.920 | Train PPL: 137.016
	 Val. Loss: 4.886 |  Val. PPL: 132.477
Epoch: 18 | Time: 1m 11s
	Train Loss: 4.918 | Train PPL: 136.663
	 Val. Loss: 4.892 |  Val. PPL: 133.155
Epoch: 19 | Time: 1m 11s
	Train Loss: 4.916 | Train PPL: 136.519
	 Val. Loss: 4.891 |  Val. PPL: 133.024
Epoch: 20 | Time: 1m 11s
	Train Loss: 4.914 | Train PPL: 136.121
	 Val. Loss: 4.894 |  Val. PPL: 133.490
Epoch: 21 | Time: 1m 11s
	Train Loss: 4.911 | Train PPL: 135.825
	 Val. Loss: 4.891 |  Val. PPL: 133.107
Epoch: 22 | Time: 1m 11s
	Train Loss: 4.909 | Train PPL: 135.466
	 Val. Loss: 4.897 |  Val. PPL: 133.926
Epoch: 23 | Time: 1m 11s
	Train Loss: 4.906 | Train PPL: 135.136
	 Val. Loss: 4.899 |  Val. PPL: 134.220
Epoch: 24 | Time: 1m 11s
	Train Loss: 4.904 | Train PPL: 134.895
	 Val. Loss: 4.905 |  Val. PPL: 134.982
Epoch: 25 | Time: 1m 11s
	Train Loss: 4.902 | Train PPL: 134.542
	 Val. Loss: 4.903 |  Val. PPL: 134.713
Epoch: 26 | Time: 1m 11s
	Train Loss: 4.901 | Train PPL: 134.390
	 Val. Loss: 4.903 |  Val. PPL: 134.679
Epoch: 27 | Time: 1m 11s
	Train Loss: 4.899 | Train PPL: 134.115
	 Val. Loss: 4.905 |  Val. PPL: 134.981
Epoch: 28 | Time: 1m 11s
	Train Loss: 4.897 | Train PPL: 133.841
	 Val. Loss: 4.907 |  Val. PPL: 135.286
Epoch: 29 | Time: 1m 11s
	Train Loss: 4.895 | Train PPL: 133.558
	 Val. Loss: 4.910 |  Val. PPL: 135.589
Epoch: 30 | Time: 1m 11s
	Train Loss: 4.893 | Train PPL: 133.324
	 Val. Loss: 4.912 |  Val. PPL: 135.926
Epoch: 31 | Time: 1m 11s
	Train Loss: 4.892 | Train PPL: 133.177
	 Val. Loss: 4.912 |  Val. PPL: 135.875
Epoch: 32 | Time: 1m 11s
	Train Loss: 4.890 | Train PPL: 132.901
	 Val. Loss: 4.917 |  Val. PPL: 136.629
Epoch: 33 | Time: 1m 11s
	Train Loss: 4.890 | Train PPL: 132.930
	 Val. Loss: 4.917 |  Val. PPL: 136.617
Epoch: 34 | Time: 1m 11s
	Train Loss: 4.884 | Train PPL: 132.112
	 Val. Loss: 4.873 |  Val. PPL: 130.736
Epoch: 35 | Time: 1m 11s
	Train Loss: 4.805 | Train PPL: 122.114
	 Val. Loss: 4.812 |  Val. PPL: 122.921
Epoch: 36 | Time: 1m 11s
	Train Loss: 4.782 | Train PPL: 119.398
	 Val. Loss: 4.809 |  Val. PPL: 122.623
Epoch: 37 | Time: 1m 11s
	Train Loss: 4.775 | Train PPL: 118.472
	 Val. Loss: 4.812 |  Val. PPL: 122.977
Epoch: 38 | Time: 1m 11s
	Train Loss: 4.770 | Train PPL: 117.934
	 Val. Loss: 4.816 |  Val. PPL: 123.425
Epoch: 39 | Time: 1m 11s
	Train Loss: 4.766 | Train PPL: 117.460
	 Val. Loss: 4.817 |  Val. PPL: 123.625
Epoch: 40 | Time: 1m 11s
	Train Loss: 4.763 | Train PPL: 117.041
	 Val. Loss: 4.821 |  Val. PPL: 124.030
Epoch: 41 | Time: 1m 11s
	Train Loss: 4.759 | Train PPL: 116.616
	 Val. Loss: 4.823 |  Val. PPL: 124.385
Epoch: 42 | Time: 1m 11s
	Train Loss: 4.756 | Train PPL: 116.258
	 Val. Loss: 4.827 |  Val. PPL: 124.863
Epoch: 43 | Time: 1m 11s
	Train Loss: 4.752 | Train PPL: 115.800
	 Val. Loss: 4.830 |  Val. PPL: 125.217
Epoch: 44 | Time: 1m 11s
	Train Loss: 4.748 | Train PPL: 115.365
	 Val. Loss: 4.831 |  Val. PPL: 125.278
Epoch: 45 | Time: 1m 11s
	Train Loss: 4.745 | Train PPL: 114.986
	 Val. Loss: 4.837 |  Val. PPL: 126.065
Epoch: 46 | Time: 1m 12s
	Train Loss: 4.742 | Train PPL: 114.637
	 Val. Loss: 4.838 |  Val. PPL: 126.155
Epoch: 47 | Time: 1m 11s
	Train Loss: 4.739 | Train PPL: 114.313
	 Val. Loss: 4.842 |  Val. PPL: 126.769
Epoch: 48 | Time: 1m 11s
	Train Loss: 4.736 | Train PPL: 114.002
	 Val. Loss: 4.849 |  Val. PPL: 127.561
Epoch: 49 | Time: 1m 11s
	Train Loss: 4.734 | Train PPL: 113.726
