The model has 73,103,293 trainable parameters
Epoch: 01 | Time: 2m 4s
	Train Loss: 5.139 | Train PPL: 170.496
	 Val. Loss: 4.873 |  Val. PPL: 130.764
Epoch: 02 | Time: 2m 5s
	Train Loss: 4.989 | Train PPL: 146.788
	 Val. Loss: 4.865 |  Val. PPL: 129.710
Epoch: 03 | Time: 2m 6s
	Train Loss: 4.973 | Train PPL: 144.426
	 Val. Loss: 4.860 |  Val. PPL: 129.067
Epoch: 04 | Time: 2m 5s
	Train Loss: 4.964 | Train PPL: 143.150
	 Val. Loss: 4.859 |  Val. PPL: 128.850
Epoch: 05 | Time: 2m 6s
	Train Loss: 4.957 | Train PPL: 142.227
	 Val. Loss: 4.860 |  Val. PPL: 128.988
Epoch: 06 | Time: 2m 5s
	Train Loss: 4.952 | Train PPL: 141.485
	 Val. Loss: 4.860 |  Val. PPL: 129.023
Epoch: 07 | Time: 2m 5s
	Train Loss: 4.948 | Train PPL: 140.862
	 Val. Loss: 4.863 |  Val. PPL: 129.417
Epoch: 08 | Time: 2m 5s
	Train Loss: 4.943 | Train PPL: 140.237
	 Val. Loss: 4.864 |  Val. PPL: 129.539
Epoch: 09 | Time: 2m 6s
	Train Loss: 4.940 | Train PPL: 139.733
	 Val. Loss: 4.877 |  Val. PPL: 131.297
Epoch: 10 | Time: 2m 5s
	Train Loss: 4.937 | Train PPL: 139.302
	 Val. Loss: 4.872 |  Val. PPL: 130.604
Epoch: 11 | Time: 2m 5s
	Train Loss: 4.933 | Train PPL: 138.803
	 Val. Loss: 4.879 |  Val. PPL: 131.483
Epoch: 12 | Time: 2m 6s
	Train Loss: 4.930 | Train PPL: 138.363
	 Val. Loss: 4.883 |  Val. PPL: 132.049
Epoch: 13 | Time: 2m 5s
	Train Loss: 4.928 | Train PPL: 138.063
	 Val. Loss: 4.882 |  Val. PPL: 131.848
Epoch: 14 | Time: 2m 6s
	Train Loss: 4.925 | Train PPL: 137.695
	 Val. Loss: 4.884 |  Val. PPL: 132.115
Epoch: 15 | Time: 2m 5s
	Train Loss: 4.922 | Train PPL: 137.304
	 Val. Loss: 4.887 |  Val. PPL: 132.526
Epoch: 16 | Time: 2m 6s
	Train Loss: 4.920 | Train PPL: 136.944
	 Val. Loss: 4.886 |  Val. PPL: 132.472
Epoch: 17 | Time: 2m 6s
	Train Loss: 4.917 | Train PPL: 136.634
	 Val. Loss: 4.891 |  Val. PPL: 133.028
Epoch: 18 | Time: 2m 5s
	Train Loss: 4.915 | Train PPL: 136.333
	 Val. Loss: 4.895 |  Val. PPL: 133.558
Epoch: 19 | Time: 2m 5s
	Train Loss: 4.913 | Train PPL: 136.076
	 Val. Loss: 4.891 |  Val. PPL: 133.056
Epoch: 20 | Time: 2m 5s
