The model has 4,478,717 trainable parameters
Epoch: 01 | Time: 0m 19s
	Train Loss: 5.750 | Train PPL: 314.273
	 Val. Loss: 5.137 |  Val. PPL: 170.287
Epoch: 02 | Time: 0m 19s
	Train Loss: 5.170 | Train PPL: 175.851
	 Val. Loss: 5.210 |  Val. PPL: 183.092
Epoch: 03 | Time: 0m 19s
	Train Loss: 5.088 | Train PPL: 162.133
	 Val. Loss: 4.959 |  Val. PPL: 142.393
Epoch: 04 | Time: 0m 19s
	Train Loss: 4.960 | Train PPL: 142.631
	 Val. Loss: 4.923 |  Val. PPL: 137.444
Epoch: 05 | Time: 0m 19s
	Train Loss: 4.894 | Train PPL: 133.544
	 Val. Loss: 4.890 |  Val. PPL: 132.945
Epoch: 06 | Time: 0m 19s
	Train Loss: 4.854 | Train PPL: 128.298
	 Val. Loss: 4.875 |  Val. PPL: 130.984
Epoch: 07 | Time: 0m 19s
	Train Loss: 4.810 | Train PPL: 122.717
	 Val. Loss: 4.806 |  Val. PPL: 122.290
Epoch: 08 | Time: 0m 19s
	Train Loss: 4.670 | Train PPL: 106.733
	 Val. Loss: 4.851 |  Val. PPL: 127.925
Epoch: 09 | Time: 0m 19s
	Train Loss: 4.497 | Train PPL: 89.778
	 Val. Loss: 4.766 |  Val. PPL: 117.495
Epoch: 10 | Time: 0m 19s
	Train Loss: 4.369 | Train PPL: 78.987
	 Val. Loss: 4.730 |  Val. PPL: 113.275
Epoch: 11 | Time: 0m 19s
	Train Loss: 4.277 | Train PPL: 72.034
	 Val. Loss: 4.736 |  Val. PPL: 113.935
Epoch: 12 | Time: 0m 19s
	Train Loss: 4.199 | Train PPL: 66.649
	 Val. Loss: 4.659 |  Val. PPL: 105.563
Epoch: 13 | Time: 0m 19s
	Train Loss: 4.137 | Train PPL: 62.622
	 Val. Loss: 4.677 |  Val. PPL: 107.489
Epoch: 14 | Time: 0m 19s
	Train Loss: 4.077 | Train PPL: 58.992
	 Val. Loss: 4.597 |  Val. PPL: 99.161
Epoch: 15 | Time: 0m 19s
	Train Loss: 4.019 | Train PPL: 55.641
	 Val. Loss: 4.655 |  Val. PPL: 105.091
Epoch: 16 | Time: 0m 19s
	Train Loss: 3.976 | Train PPL: 53.316
	 Val. Loss: 4.582 |  Val. PPL: 97.696
Epoch: 17 | Time: 0m 19s
	Train Loss: 3.914 | Train PPL: 50.086
	 Val. Loss: 4.553 |  Val. PPL: 94.906
Epoch: 18 | Time: 0m 19s
	Train Loss: 3.855 | Train PPL: 47.235
	 Val. Loss: 4.462 |  Val. PPL: 86.673
Epoch: 19 | Time: 0m 19s
	Train Loss: 3.822 | Train PPL: 45.707
	 Val. Loss: 4.443 |  Val. PPL: 84.989
Epoch: 20 | Time: 0m 19s
	Train Loss: 3.777 | Train PPL: 43.706
	 Val. Loss: 4.413 |  Val. PPL: 82.551
Epoch: 21 | Time: 0m 19s
	Train Loss: 3.734 | Train PPL: 41.836
	 Val. Loss: 4.408 |  Val. PPL: 82.100
Epoch: 22 | Time: 0m 19s
	Train Loss: 3.693 | Train PPL: 40.150
	 Val. Loss: 4.339 |  Val. PPL: 76.664
Epoch: 23 | Time: 0m 19s
	Train Loss: 3.645 | Train PPL: 38.296
	 Val. Loss: 4.321 |  Val. PPL: 75.275
Epoch: 24 | Time: 0m 19s
	Train Loss: 3.588 | Train PPL: 36.152
	 Val. Loss: 4.247 |  Val. PPL: 69.919
Epoch: 25 | Time: 0m 19s
	Train Loss: 3.548 | Train PPL: 34.758
	 Val. Loss: 4.227 |  Val. PPL: 68.511
Epoch: 26 | Time: 0m 19s
	Train Loss: 3.502 | Train PPL: 33.168
	 Val. Loss: 4.215 |  Val. PPL: 67.677
Epoch: 27 | Time: 0m 19s
	Train Loss: 3.445 | Train PPL: 31.341
	 Val. Loss: 4.176 |  Val. PPL: 65.081
Epoch: 28 | Time: 0m 19s
	Train Loss: 3.405 | Train PPL: 30.122
	 Val. Loss: 4.232 |  Val. PPL: 68.886
Epoch: 29 | Time: 0m 19s
	Train Loss: 3.364 | Train PPL: 28.908
	 Val. Loss: 4.160 |  Val. PPL: 64.077
Epoch: 30 | Time: 0m 19s
	Train Loss: 3.333 | Train PPL: 28.017
	 Val. Loss: 4.115 |  Val. PPL: 61.264
Epoch: 31 | Time: 0m 19s
	Train Loss: 3.298 | Train PPL: 27.069
	 Val. Loss: 4.080 |  Val. PPL: 59.172
Epoch: 32 | Time: 0m 19s
	Train Loss: 3.268 | Train PPL: 26.269
	 Val. Loss: 4.113 |  Val. PPL: 61.105
Epoch: 33 | Time: 0m 19s
	Train Loss: 3.219 | Train PPL: 25.004
	 Val. Loss: 4.114 |  Val. PPL: 61.184
Epoch: 34 | Time: 0m 19s
	Train Loss: 3.182 | Train PPL: 24.105
	 Val. Loss: 4.082 |  Val. PPL: 59.259
Epoch: 35 | Time: 0m 19s
	Train Loss: 3.156 | Train PPL: 23.469
	 Val. Loss: 4.087 |  Val. PPL: 59.585
Epoch: 36 | Time: 0m 19s
	Train Loss: 3.118 | Train PPL: 22.610
	 Val. Loss: 4.020 |  Val. PPL: 55.725
Epoch: 37 | Time: 0m 19s
	Train Loss: 3.085 | Train PPL: 21.861
	 Val. Loss: 4.089 |  Val. PPL: 59.671
Epoch: 38 | Time: 0m 19s
	Train Loss: 3.053 | Train PPL: 21.182
	 Val. Loss: 4.088 |  Val. PPL: 59.595
Epoch: 39 | Time: 0m 19s
	Train Loss: 3.023 | Train PPL: 20.557
	 Val. Loss: 4.082 |  Val. PPL: 59.279
Epoch: 40 | Time: 0m 19s
	Train Loss: 2.986 | Train PPL: 19.797
	 Val. Loss: 4.040 |  Val. PPL: 56.854
Epoch: 41 | Time: 0m 19s
	Train Loss: 2.972 | Train PPL: 19.537
	 Val. Loss: 4.068 |  Val. PPL: 58.465
Epoch: 42 | Time: 0m 19s
	Train Loss: 2.933 | Train PPL: 18.792
	 Val. Loss: 4.053 |  Val. PPL: 57.580
Epoch: 43 | Time: 0m 19s
	Train Loss: 2.905 | Train PPL: 18.267
	 Val. Loss: 4.068 |  Val. PPL: 58.450
Epoch: 44 | Time: 0m 19s
	Train Loss: 2.875 | Train PPL: 17.733
	 Val. Loss: 4.031 |  Val. PPL: 56.304
Epoch: 45 | Time: 0m 19s
	Train Loss: 2.861 | Train PPL: 17.476
	 Val. Loss: 4.036 |  Val. PPL: 56.627
Epoch: 46 | Time: 0m 19s
	Train Loss: 2.826 | Train PPL: 16.875
	 Val. Loss: 4.044 |  Val. PPL: 57.027
Epoch: 47 | Time: 0m 19s
	Train Loss: 2.810 | Train PPL: 16.617
	 Val. Loss: 4.060 |  Val. PPL: 57.994
Epoch: 48 | Time: 0m 19s
	Train Loss: 2.782 | Train PPL: 16.155
	 Val. Loss: 4.039 |  Val. PPL: 56.795
Epoch: 49 | Time: 0m 19s
	Train Loss: 2.757 | Train PPL: 15.753
	 Val. Loss: 4.020 |  Val. PPL: 55.718
Epoch: 50 | Time: 0m 19s
	Train Loss: 2.737 | Train PPL: 15.438
	 Val. Loss: 4.112 |  Val. PPL: 61.063
