The model has 9,523,901 trainable parameters
Epoch: 01 | Time: 0m 26s
	Train Loss: 5.252 | Train PPL: 190.984
	 Val. Loss: 5.377 |  Val. PPL: 216.388
Epoch: 02 | Time: 0m 26s
	Train Loss: 4.944 | Train PPL: 140.347
	 Val. Loss: 4.853 |  Val. PPL: 128.084
Epoch: 03 | Time: 0m 26s
	Train Loss: 4.763 | Train PPL: 117.146
	 Val. Loss: 4.616 |  Val. PPL: 101.097
Epoch: 04 | Time: 0m 26s
	Train Loss: 4.358 | Train PPL: 78.108
	 Val. Loss: 4.451 |  Val. PPL: 85.708
Epoch: 05 | Time: 0m 25s
	Train Loss: 4.080 | Train PPL: 59.124
	 Val. Loss: 4.337 |  Val. PPL: 76.506
Epoch: 06 | Time: 0m 26s
	Train Loss: 3.911 | Train PPL: 49.961
	 Val. Loss: 4.239 |  Val. PPL: 69.331
Epoch: 07 | Time: 0m 26s
	Train Loss: 3.761 | Train PPL: 42.977
	 Val. Loss: 4.188 |  Val. PPL: 65.865
Epoch: 08 | Time: 0m 26s
	Train Loss: 3.629 | Train PPL: 37.676
	 Val. Loss: 4.093 |  Val. PPL: 59.894
Epoch: 09 | Time: 0m 25s
	Train Loss: 3.463 | Train PPL: 31.918
	 Val. Loss: 3.953 |  Val. PPL: 52.099
Epoch: 10 | Time: 0m 25s
	Train Loss: 3.343 | Train PPL: 28.312
	 Val. Loss: 3.815 |  Val. PPL: 45.381
Epoch: 11 | Time: 0m 26s
	Train Loss: 3.213 | Train PPL: 24.847
	 Val. Loss: 3.811 |  Val. PPL: 45.196
Epoch: 12 | Time: 0m 26s
	Train Loss: 3.080 | Train PPL: 21.755
	 Val. Loss: 3.644 |  Val. PPL: 38.241
Epoch: 13 | Time: 0m 26s
	Train Loss: 2.943 | Train PPL: 18.963
	 Val. Loss: 3.636 |  Val. PPL: 37.952
Epoch: 14 | Time: 0m 26s
	Train Loss: 2.826 | Train PPL: 16.878
	 Val. Loss: 3.578 |  Val. PPL: 35.786
Epoch: 15 | Time: 0m 26s
	Train Loss: 2.725 | Train PPL: 15.255
	 Val. Loss: 3.519 |  Val. PPL: 33.760
Epoch: 16 | Time: 0m 26s
	Train Loss: 2.610 | Train PPL: 13.598
	 Val. Loss: 3.515 |  Val. PPL: 33.619
Epoch: 17 | Time: 0m 26s
	Train Loss: 2.498 | Train PPL: 12.160
	 Val. Loss: 3.490 |  Val. PPL: 32.778
Epoch: 18 | Time: 0m 26s
	Train Loss: 2.417 | Train PPL: 11.209
	 Val. Loss: 3.458 |  Val. PPL: 31.746
Epoch: 19 | Time: 0m 26s
